name,score,day
zay,3,2024-04-23
zay,1,2024-04-24
zay,6,2024-04-25
zay,6,2024-04-26
zay,6,2024-04-27
zay,4,2024-04-28
zay,2,2024-04-29
zay,4,2024-04-30
zay,3,2024-05-01
zay,6,2024-05-02
zay,5,2024-05-03
zay,3,2024-05-04
zay,6,2024-05-05
zay,2,2024-05-06
zay,5,2024-05-07
zay,1,2024-05-08
zay,1,2024-05-09
zay,3,2024-05-10
zay,5,2024-05-12
zay,3,2024-05-13
zay,1,2024-05-15
zay,3,2024-05-16
zay,2,2024-05-17
zay,6,2024-05-18
zay,2,2024-05-20
zay,3,2024-05-21
zay,6,2024-05-22
zay,3,2024-05-23
zay,2,2024-05-24
zay,2,2024-05-25
zay,1,2024-05-26
zay,6,2024-05-27
zay,6,2024-05-28
zay,6,2024-05-29
zay,5,2024-05-30
zay,5,2024-05-30
zay,2,2024-05-31
zay,2,2024-06-01
zay,6,2024-06-02
zay,6,2024-06-03
zay,6,2024-06-04
zay,1,2024-06-05
zay,3,2024-06-06
zay,6,2024-06-07
zay,3,2024-06-08
zay,6,2024-06-10
zay,4,2024-06-11
zay,1,2024-06-12
zay,5,2024-06-13
zay,2,2024-06-14
zay,2,2024-06-16
zay,6,2024-06-18
zay,2,2024-06-19
zay,4,2024-06-20
zay,6,2024-06-21
zay,2,2024-06-22
zay,2,2024-06-23
zay,2,2024-06-24
zay,6,2024-06-25
zay,2,2024-06-26
zay,2,2024-06-27
zay,6,2024-06-28
al,2,2024-04-22
al,1,2024-04-23
al,1,2024-04-24
al,5,2024-04-26
al,4,2024-04-28
al,2,2024-04-29
al,1,2024-04-30
al,2,2024-05-01
al,6,2024-05-02
al,3,2024-05-03
al,2,2024-05-05
al,5,2024-05-06
al,6,2024-05-07
al,1,2024-05-08
al,2,2024-05-09
al,5,2024-05-10
al,2,2024-05-13
al,2,2024-05-14
al,1,2024-05-15
al,3,2024-05-16
al,2,2024-05-17
al,3,2024-05-21
al,6,2024-05-22
al,1,2024-05-23
al,4,2024-05-24
al,5,2024-05-25
al,6,2024-05-26
al,6,2024-05-27
al,6,2024-05-28
al,2,2024-05-29
al,5,2024-05-30
al,1,2024-05-31
al,4,2024-06-01
al,5,2024-06-02
al,6,2024-06-03
al,3,2024-06-04
al,5,2024-06-06
al,6,2024-06-07
al,2,2024-06-10
al,6,2024-06-11
al,1,2024-06-12
al,6,2024-06-13
al,2,2024-06-14
al,5,2024-06-17
al,2,2024-06-19
al,2,2024-06-20
al,6,2024-06-21
al,3,2024-06-22
al,6,2024-06-23
al,4,2024-06-24
al,6,2024-06-25
al,2,2024-06-26
al,6,2024-06-27
al,6,2024-06-28
