name,score,day
zay,397,2024-05-11
zay,126,2024-05-12
zay,77,2024-05-13
zay,213,2024-05-14
zay,102,2024-05-15
zay,92,2024-05-17
zay,200,2024-05-18
zay,146,2024-05-20
zay,95,2024-05-22
zay,80,2024-05-23
zay,295,2024-05-24
zay,190,2024-05-26
zay,79,2024-05-27
zay,198,2024-05-28
zay,125,2024-05-29
zay,319,2024-06-01
zay,79,2024-06-03
zay,103,2024-06-04
zay,128,2024-06-05
zay,114,2024-06-06
zay,103,2024-06-07
zay,189,2024-06-08
zay,210,2024-06-09
zay,82,2024-06-10
zay,74,2024-06-11
zay,264,2024-06-12
zay,361,2024-06-15
zay,67,2024-06-16
zay,120,2024-06-18
zay,53,2024-06-19
zay,126,2024-06-20
zay,75,2024-06-21
zay,163,2024-06-22
zay,91,2024-06-24
zay,93,2024-06-25
zay,227,2024-06-26
zay,238,2024-06-27
al,74,2024-03-30
al,11,2024-03-31
al,44,2024-04-01
al,33,2024-04-01
al,74,2024-04-03
al,442,2024-04-04
al,57,2024-04-05
al,120,2024-04-06
al,45,2024-04-07
al,31,2024-04-08
al,30,2024-04-09
al,45,2024-04-10
al,80,2024-04-11
al,30,2024-04-12
al,58,2024-04-13
al,120,2024-04-14
al,23,2024-04-15
al,55,2024-04-16
al,49,2024-04-17
al,22,2024-04-18
al,48,2024-04-19
al,127,2024-04-20
al,59,2024-04-21
al,37,2024-04-22
al,244,2024-04-23
al,113,2024-04-25
al,69,2024-04-28
al,47,2024-04-29
al,27,2024-04-30
al,22,2024-05-01
al,22,2024-05-03
al,129,2024-05-04
al,47,2024-05-05
al,31,2024-05-07
al,72,2024-05-12
al,45,2024-05-13
al,32,2024-05-14
al,29,2024-05-15
al,66,2024-05-16
al,63,2024-05-18
al,86,2024-05-21
al,40,2024-05-22
al,69,2024-05-23
al,101,2024-05-25
al,45,2024-05-28
al,153,2024-05-29
al,39,2024-05-31
al,84,2024-06-01
al,23,2024-06-03
al,35,2024-06-04
al,14,2024-06-05
al,41,2024-06-06
al,26,2024-06-07
al,77,2024-06-08
al,116,2024-06-09
al,31,2024-06-10
al,35,2024-06-11
al,68,2024-06-12
al,27,2024-06-13
al,27,2024-06-14
al,275,2024-06-15
al,32,2024-06-16
al,46,2024-06-17
al,27,2024-06-18
al,20,2024-06-19
al,135,2024-06-20
al,28,2024-06-21
al,67,2024-06-22
al,45,2024-06-23
al,34,2024-06-24
al,23,2024-06-25
al,25,2024-06-26
al,56,2024-06-27
al,78,2024-06-28
